Tokenized_Sentence,Tagged_Sentence
"['the', 'georgia', 'legislature', 'will', 'wind', 'up', 'its', '1961', 'session', 'monday', 'and', 'head', 'for', 'home', '--', 'where', 'some', 'of', 'the', 'highway', 'bond', 'money', 'it', 'approved', 'will', 'follow', 'shortly', '.']","['DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PRT', 'DET', 'NUM', 'NOUN', 'NOUN', 'CONJ', 'VERB', 'ADP', 'NOUN', '.', 'ADV', 'DET', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PRON', 'VERB', 'VERB', 'VERB', 'ADV', '.']"
"['before', 'adjournment', 'monday', 'afternoon', ',', 'the', 'senate', 'is', 'expected', 'to', 'approve', 'a', 'study', 'of', 'the', 'number', 'of', 'legislators', 'allotted', 'to', 'rural', 'and', 'urban', 'areas', 'to', 'determine', 'what', 'adjustments', 'should', 'be', 'made', '.']","['ADP', 'NOUN', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADJ', 'CONJ', 'ADJ', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', '.']"
"['gov.', 'vandiver', 'is', 'expected', 'to', 'make', 'the', 'traditional', 'visit', 'to', 'both', 'chambers', 'as', 'they', 'work', 'toward', 'adjournment', '.']","['NOUN', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'PRON', 'VERB', 'ADP', 'NOUN', '.']"
"['vandiver', 'likely', 'will', 'mention', 'the', '$100', 'million', 'highway', 'bond', 'issue', 'approved', 'earlier', 'in', 'the', 'session', 'as', 'his', 'first', 'priority', 'item', '.']","['NOUN', 'ADV', 'VERB', 'VERB', 'DET', 'NOUN', 'NUM', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', '.']"
"['construction', 'bonds']","['NOUN', 'NOUN']"
"['meanwhile', ',', 'it', 'was', 'learned', 'the', 'state', 'highway', 'department', 'is', 'very', 'near', 'being', 'ready', 'to', 'issue', 'the', 'first', '$30', 'million', 'worth', 'of', 'highway', 'reconstruction', 'bonds', '.']","['ADV', '.', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADV', 'VERB', 'ADJ', 'PRT', 'VERB', 'DET', 'ADJ', 'NOUN', 'NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', '.']"
"['the', 'bond', 'issue', 'will', 'go', 'to', 'the', 'state', 'courts', 'for', 'a', 'friendly', 'test', 'suit', 'to', 'test', 'the', 'validity', 'of', 'the', 'act', ',', 'and', 'then', 'the', 'sales', 'will', 'begin', 'and', 'contracts', 'let', 'for', 'repair', 'work', 'on', 'some', 'of', ""georgia's"", 'most', 'heavily', 'traveled', 'highways', '.']","['DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', '.', 'CONJ', 'ADV', 'DET', 'NOUN', 'VERB', 'VERB', 'CONJ', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'DET', 'ADP', 'NOUN', 'ADV', 'ADV', 'VERB', 'NOUN', '.']"
"['a', 'highway', 'department', 'source', 'said', 'there', 'also', 'is', 'a', 'plan', 'there', 'to', 'issue', 'some', '$3', 'million', 'to', '$4', 'million', 'worth', 'of', 'rural', 'roads', 'authority', 'bonds', 'for', 'rural', 'road', 'construction', 'work', '.']","['DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PRT', 'ADV', 'VERB', 'DET', 'NOUN', 'ADV', 'PRT', 'VERB', 'DET', 'NOUN', 'NUM', 'ADP', 'NOUN', 'NUM', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'NOUN', '.']"
"['a', 'revolving', 'fund']","['DET', 'VERB', 'NOUN']"
"['the', 'department', 'apparently', 'intends', 'to', 'make', 'the', 'rural', 'roads', 'authority', 'a', 'revolving', 'fund', 'under', 'which', 'new', 'bonds', 'would', 'be', 'issued', 'every', 'time', 'a', 'portion', 'of', 'the', 'old', 'ones', 'are', 'paid', 'off', 'by', 'tax', 'authorities', '.']","['DET', 'NOUN', 'ADV', 'VERB', 'PRT', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'VERB', 'PRT', 'ADP', 'NOUN', 'NOUN', '.']"
"['vandiver', 'opened', 'his', 'race', 'for', 'governor', 'in', '1958', 'with', 'a', 'battle', 'in', 'the', 'legislature', 'against', 'the', 'issuance', 'of', '$50', 'million', 'worth', 'of', 'additional', 'rural', 'roads', 'bonds', 'proposed', 'by', 'then', 'gov.', 'marvin', 'griffin', '.']","['NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NUM', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'ADV', 'NOUN', 'NOUN', 'NOUN', '.']"
"['the', 'highway', 'department', 'source', 'told', 'the', 'constitution', ',', 'however', ',', 'that', 'vandiver', 'has', 'not', 'been', 'consulted', 'yet', 'about', 'the', 'plans', 'to', 'issue', 'the', 'new', 'rural', 'roads', 'bonds', '.']","['DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN', '.', 'ADV', '.', 'ADP', 'NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'PRT', 'VERB', 'DET', 'ADJ', 'ADJ', 'NOUN', 'NOUN', '.']"
"['schley', 'county', 'rep.', 'b.', 'd.', 'pelham', 'will', 'offer', 'a', 'resolution', 'monday', 'in', 'the', 'house', 'to', 'rescind', 'the', ""body's"", 'action', 'of', 'friday', 'in', 'voting', 'itself', 'a', '$10', 'per', 'day', 'increase', 'in', 'expense', 'allowances', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'ADP', 'VERB', 'PRON', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', '.']"
"['pelham', 'said', 'sunday', 'night', 'there', 'was', 'research', 'being', 'done', 'on', 'whether', 'the', '``', 'quickie', ""''"", 'vote', 'on', 'the', 'increase', 'can', 'be', 'repealed', 'outright', 'or', 'whether', 'notice', 'would', 'have', 'to', 'first', 'be', 'given', 'that', 'reconsideration', 'of', 'the', 'action', 'would', 'be', 'sought', '.']","['NOUN', 'VERB', 'NOUN', 'NOUN', 'PRT', 'VERB', 'NOUN', 'VERB', 'VERB', 'ADP', 'ADP', 'DET', '.', 'NOUN', '.', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADV', 'CONJ', 'ADP', 'NOUN', 'VERB', 'VERB', 'PRT', 'ADV', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', '.']"
"['while', 'emphasizing', 'that', 'technical', 'details', 'were', 'not', 'fully', 'worked', 'out', ',', 'pelham', 'said', 'his', 'resolution', 'would', 'seek', 'to', 'set', 'aside', 'the', 'privilege', 'resolution', 'which', 'the', 'house', 'voted', 'through', '87-31', '.']","['ADP', 'VERB', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADV', 'VERB', 'PRT', '.', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'VERB', 'PRT', 'VERB', 'ADV', 'DET', 'NOUN', 'NOUN', 'DET', 'DET', 'NOUN', 'VERB', 'ADP', 'NUM', '.']"
"['a', 'similar', 'resolution', 'passed', 'in', 'the', 'senate', 'by', 'a', 'vote', 'of', '29-5', '.']","['DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', '.']"
"['as', 'of', 'sunday', 'night', ',', 'there', 'was', 'no', 'word', 'of', 'a', 'resolution', 'being', 'offered', 'there', 'to', 'rescind', 'the', 'action', '.']","['ADP', 'ADP', 'NOUN', 'NOUN', '.', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'ADV', 'PRT', 'VERB', 'DET', 'NOUN', '.']"
"['pelham', 'pointed', 'out', 'that', 'georgia', 'voters', 'last', 'november', 'rejected', 'a', 'constitutional', 'amendment', 'to', 'allow', 'legislators', 'to', 'vote', 'on', 'pay', 'raises', 'for', 'future', 'legislature', 'sessions', '.']","['NOUN', 'VERB', 'PRT', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PRT', 'VERB', 'NOUN', 'PRT', 'VERB', 'ADP', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', '.']"
"['a', 'veteran', 'jackson', 'county', 'legislator', 'will', 'ask', 'the', 'georgia', 'house', 'monday', 'to', 'back', 'federal', 'aid', 'to', 'education', ',', 'something', 'it', 'has', 'consistently', 'opposed', 'in', 'the', 'past', '.']","['DET', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'PRT', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', '.', 'NOUN', 'PRON', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', '.']"
"['rep.', 'mac', 'barber', 'of', 'commerce', 'is', 'asking', 'the', 'house', 'in', 'a', 'privilege', 'resolution', 'to', '``', 'endorse', 'increased', 'federal', 'support', 'for', 'public', 'education', ',', 'provided', 'that', 'such', 'funds', 'be', 'received', 'and', 'expended', ""''"", 'as', 'state', 'funds', '.']","['NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PRT', '.', 'VERB', 'VERB', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', '.', 'VERB', 'ADP', 'ADJ', 'NOUN', 'VERB', 'VERB', 'CONJ', 'VERB', '.', 'ADP', 'NOUN', 'NOUN', '.']"
"['barber', ',', 'who', 'is', 'in', 'his', '13th', 'year', 'as', 'a', 'legislator', ',', 'said', 'there', '``', 'are', 'some', 'members', 'of', 'our', 'congressional', 'delegation', 'in', 'washington', 'who', 'would', 'like', 'to', 'see', 'it', '(', 'the', 'resolution', ')', 'passed', ""''"", '.']","['NOUN', '.', 'PRON', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'PRT', '.', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PRON', 'VERB', 'VERB', 'PRT', 'VERB', 'PRON', '.', 'DET', 'NOUN', '.', 'VERB', '.', '.']"
"['but', 'he', 'added', 'that', 'none', 'of', ""georgia's"", 'congressmen', 'specifically', 'asked', 'him', 'to', 'offer', 'the', 'resolution', '.']","['CONJ', 'PRON', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADV', 'VERB', 'PRON', 'PRT', 'VERB', 'DET', 'NOUN', '.']"
"['the', 'resolution', ',', 'which', 'barber', 'tossed', 'into', 'the', 'house', 'hopper', 'friday', ',', 'will', 'be', 'formally', 'read', 'monday', '.']","['DET', 'NOUN', '.', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', '.', 'VERB', 'VERB', 'ADV', 'VERB', 'NOUN', '.']"
"['it', 'says', 'that', '``', 'in', 'the', 'event', 'congress', 'does', 'provide', 'this', 'increase', 'in', 'federal', 'funds', ""''"", ',', 'the', 'state', 'board', 'of', 'education', 'should', 'be', 'directed', 'to', '``', 'give', 'priority', ""''"", 'to', 'teacher', 'pay', 'raises', '.']","['PRON', 'VERB', 'ADP', '.', 'ADP', 'DET', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', '.', '.', 'DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'VERB', 'VERB', 'PRT', '.', 'VERB', 'NOUN', '.', 'ADP', 'NOUN', 'NOUN', 'NOUN', '.']"
['colquitt'],['NOUN']
"['--', 'after', 'a', 'long', ',', 'hot', 'controversy', ',', 'miller', 'county', 'has', 'a', 'new', 'school', 'superintendent', ',', 'elected', ',', 'as', 'a', 'policeman', 'put', 'it', ',', 'in', 'the', '``', 'coolest', 'election', 'i', 'ever', 'saw', 'in', 'this', 'county', ""''"", '.']","['.', 'ADP', 'DET', 'ADJ', '.', 'ADJ', 'NOUN', '.', 'NOUN', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', '.', 'VERB', '.', 'ADP', 'DET', 'NOUN', 'VERB', 'PRON', '.', 'ADP', 'DET', '.', 'ADJ', 'NOUN', 'PRON', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', '.', '.']"
"['the', 'new', 'school', 'superintendent', 'is', 'harry', 'davis', ',', 'a', 'veteran', 'agriculture', 'teacher', ',', 'who', 'defeated', 'felix', 'bush', ',', 'a', 'school', 'principal', 'and', 'chairman', 'of', 'the', 'miller', 'county', 'democratic', 'executive', 'committee', '.']","['DET', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', '.', 'DET', 'ADJ', 'NOUN', 'NOUN', '.', 'PRON', 'VERB', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', 'NOUN', 'CONJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'NOUN', '.']"
"['davis', 'received', '1,119', 'votes', 'in', ""saturday's"", 'election', ',', 'and', 'bush', 'got', '402', '.']","['NOUN', 'VERB', 'NUM', 'NOUN', 'ADP', 'NOUN', 'NOUN', '.', 'CONJ', 'NOUN', 'VERB', 'NUM', '.']"
"['ordinary', 'carey', 'williams', ',', 'armed', 'with', 'a', 'pistol', ',', 'stood', 'by', 'at', 'the', 'polls', 'to', 'insure', 'order', '.']","['NOUN', 'NOUN', 'NOUN', '.', 'VERB', 'ADP', 'DET', 'NOUN', '.', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'PRT', 'VERB', 'NOUN', '.']"
"['``', 'this', 'was', 'the', 'coolest', ',', 'calmest', 'election', 'i', 'ever', 'saw', ""''"", ',', 'colquitt', 'policeman', 'tom', 'williams', 'said', '.']","['.', 'DET', 'VERB', 'DET', 'ADJ', '.', 'ADJ', 'NOUN', 'PRON', 'ADV', 'VERB', '.', '.', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', '.']"
"['``', 'being', 'at', 'the', 'polls', 'was', 'just', 'like', 'being', 'at', 'church', '.']","['.', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'ADP', 'VERB', 'ADP', 'NOUN', '.']"
"['i', ""didn't"", 'smell', 'a', 'drop', 'of', 'liquor', ',', 'and', 'we', ""didn't"", 'have', 'a', 'bit', 'of', 'trouble', ""''"", '.']","['PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', '.', 'CONJ', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', '.', '.']"
"['the', 'campaign', 'leading', 'to', 'the', 'election', 'was', 'not', 'so', 'quiet', ',', 'however', '.']","['DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'ADV', 'ADV', 'ADJ', '.', 'ADV', '.']"
"['it', 'was', 'marked', 'by', 'controversy', ',', 'anonymous', 'midnight', 'phone', 'calls', 'and', 'veiled', 'threats', 'of', 'violence', '.']","['PRON', 'VERB', 'VERB', 'ADP', 'NOUN', '.', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'CONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', '.']"
"['the', 'former', 'county', 'school', 'superintendent', ',', 'george', 'p.', 'callan', ',', 'shot', 'himself', 'to', 'death', 'march', '18', ',', 'four', 'days', 'after', 'he', 'resigned', 'his', 'post', 'in', 'a', 'dispute', 'with', 'the', 'county', 'school', 'board', '.']","['DET', 'ADJ', 'NOUN', 'NOUN', 'NOUN', '.', 'NOUN', 'NOUN', 'NOUN', '.', 'VERB', 'PRON', 'ADP', 'NOUN', 'NOUN', 'NUM', '.', 'NUM', 'NOUN', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'NOUN', '.']"
"['during', 'the', 'election', 'campaign', ',', 'both', 'candidates', ',', 'davis', 'and', 'bush', ',', 'reportedly', 'received', 'anonymous', 'telephone', 'calls', '.']","['ADP', 'DET', 'NOUN', 'NOUN', '.', 'DET', 'NOUN', '.', 'NOUN', 'CONJ', 'NOUN', '.', 'ADV', 'VERB', 'ADJ', 'NOUN', 'NOUN', '.']"
"['ordinary', 'williams', 'said', 'he', ',', 'too', ',', 'was', 'subjected', 'to', 'anonymous', 'calls', 'soon', 'after', 'he', 'scheduled', 'the', 'election', '.']","['NOUN', 'NOUN', 'VERB', 'PRON', '.', 'ADV', '.', 'VERB', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADV', 'ADP', 'PRON', 'VERB', 'DET', 'NOUN', '.']"
"['many', 'local', 'citizens', 'feared', 'that', 'there', 'would', 'be', 'irregularities', 'at', 'the', 'polls', ',', 'and', 'williams', 'got', 'himself', 'a', 'permit', 'to', 'carry', 'a', 'gun', 'and', 'promised', 'an', 'orderly', 'election', '.']","['ADJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PRT', 'VERB', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', '.', 'CONJ', 'NOUN', 'VERB', 'PRON', 'DET', 'NOUN', 'PRT', 'VERB', 'DET', 'NOUN', 'CONJ', 'VERB', 'DET', 'ADJ', 'NOUN', '.']"
"['sheriff', 'felix', 'tabb', 'said', 'the', 'ordinary', 'apparently', 'made', 'good', 'his', 'promise', '.']","['NOUN', 'NOUN', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADV', 'VERB', 'ADJ', 'DET', 'NOUN', '.']"
"['``', 'everything', 'went', 'real', 'smooth', ""''"", ',', 'the', 'sheriff', 'said', '.']","['.', 'NOUN', 'VERB', 'ADV', 'ADJ', '.', '.', 'DET', 'NOUN', 'VERB', '.']"
"['``', 'there', ""wasn't"", 'a', 'bit', 'of', 'trouble', ""''"", '.']","['.', 'PRT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', '.', '.']"
"['austin', ',', 'texas']","['NOUN', '.', 'NOUN']"
"['--', 'committee', 'approval', 'of', 'gov.', 'price', ""daniel's"", '``', 'abandoned', 'property', ""''"", 'act', 'seemed', 'certain', 'thursday', 'despite', 'the', 'adamant', 'protests', 'of', 'texas', 'bankers', '.']","['.', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NOUN', '.', 'VERB', 'NOUN', '.', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', '.']"
